"toxicity","3","Slightly toxic or relatively non-toxic"
"self_or_purchased","sp","Self-produced"
"self_or_purchased","p","Purchased"
"mitigation_strategies","1","Mask"
"mitigation_strategies","2","Body protection (glasses, gloves, etc.)"
"mitigation_strategies","3","Special protection for women and children"
"mitigation_strategies","4","Visible signs of danger after spraying"
"mitigation_strategies","5","Community is informed of the danger"
"mitigation_strategies","6","Secure disposal of the empty containers after use"
"mitigation_strategies","77","Other"
"mitigation_strategies","8","None of these"
"eco_management_methods","1","Cultural control (more resistant varieties are chosen for production; plants and fruits presenting signs of disease are removed manually; crops are grown in crop rotation and intercropping schemes, etc.)"
"eco_management_methods","2","Plantation of natural repelling plants"
"eco_management_methods","3","Use of cover crops to increase biological interactions"
"eco_management_methods","4","Favor the reproduction of beneficial organisms for biological-control"
"eco_management_methods","5","Favor biodiversity and spatial diversity within the agroecosystem"
"eco_management_methods","77","Other"
"eco_management_methods","7","None of these"
"cpesticides_future","1","I would like to use more chemical pesiticides"
"cpesticides_future","2","I would like to use some chemical pesticides"
"cpesticides_future","3","I would like to use just enough quantity"
"cpesticides_future","4","I would like to stop using chemical pesticides totally"
"cpesticides_future","-99","NA (e.g. the farmer does not use chemical pesticides)"
,,
"Youth Employment and Emigration",,
"occupation","1","Working in the agricultural production within the system assessed"
"occupation","2","Both working in the agricultural production within the system and also employed outside the system"
"occupation","3","Employed outside the system assessed"
"occupation","4","Both working in the agricultural production within the system and also enrolled in formal education"
"occupation","5","Enrolled in formal education"
"occupation","0","Not working nor studying"
"occupation","6","Works in his/her own farm"
"y_emig_where","1","to another farm in the area"
"y_emig_where","2","to the nearest city"
"y_emig_where","3","within the country"
"y_emig_where","4","in a neighbouring country"
"y_emig_where","5","abroad in a far away country"
"y_emig_why","1","study"
"y_emig_why","2","looking for a job in agriculture"
"y_emig_why","3","looking for a job outside agriculture"
"y_emig_why","4","lack of good living conditions in the farm"
"y_emig_why","77","other"
"y_emig_return","4","Yes, for sure"
"y_emig_return","3","Yes, likely"
"y_emig_return","2","Maybe"
"y_emig_return","1","Probably not"
"y_emig_return","1","For sure not"
,,
"Women Empowerment",,
"education_level","1","Cannot read nor write"
"education_level","2","Able to read and write"
"education_level","3","Elementary"
"education_level","4","High school"
"education_level","5","University or higher"
"gender_decision_making","1","Completely the man"
"gender_decision_making","2","Mostly the man"
"gender_decision_making","3","Both man and woman"
"gender_decision_making","4","Mostly the woman"
"gender_decision_making","5","Completely the woman"
"gender_decision_making","6","Someone else outside the family"
"gender_decision_making","88","Not applicable"
"credit","1","Possible in official and secure channels (bank or similar)"
"credit","2","Possible in non-official channels"
"credit","3","Not possible. Access to credit is too hard or too risky"
"involvement_in_orgs","1","I do not participate in such organizations"
"involvement_in_orgs","2","I rarely participate in such meetings / organizations"
"involvement_in_orgs","3","I participate often but I rarely speak in the meetings"
"involvement_in_orgs","4","I am an active member of such organization sometimes I speak in the meetings"
"involvement_in_orgs","5","I often speak in the meetings and participate in the decisions making processes"
,,
"Food and Nutrition",,
"level_fies","0","Never"
"level_fies","1","Rarely"
"level_fies","2","Sometimes"
"level_fies","3","Often"
"level_fies","-99","Don't know / Refused to answer"
"dietyn","1","Yes, I ate it in the last 24 hours"
"dietyn","0","No, I did not eat it in the last 24 hours"
"dietyn","-99","Don't know / Refused to answer"
,,
"Soil",,
"soil_structure","1","1 Loose, powdery soil without visible aggregates"
"soil_structure","2","2"
"soil_structure","3","3 Few aggregates that break with little pressure"
"soil_structure","4","4"
"soil_structure","5","5 Well-formed aggregates – difficult to break"
"soil_compaction","1","1 Compacted soil, flag bends readily"
"soil_compaction","2","2"
"soil_compaction","3","3 Thin compacted layer, some restrictions to a penetrating wire"
"soil_compaction","4","4"
"soil_compaction","5","5 No compaction, flag can penetrate all the way into the soil"
"soil_depth","1","1 Thin soil > 1 foot until you hit rock or there is exposed rock on the soil surface"
"soil_depth","2","2"
"soil_depth","3","3 Shallow to moderate soil – less than 3 feet (1 meter) until you reach bedrock"
"soil_depth","4","4"
"soil_depth","5","5 Deep soil, more than three feet deepSuperficial soil"
"soil_residues","1","1 Organic residues are applied but decomposition is very slow, more than 1 year"
"soil_residues","2","2"
"soil_residues","3","3 Residues are visible they are slowly decomposing during the season"
"soil_residues","4","4"
"soil_residues","5","5 Residues are quickly decomposed and we can see various stages of decomposition"
"soil_color","1","1 Pale and no presence of humus"
"soil_color","2","2"
"soil_color","3","3 Light brown, odorless, and some presence of humus"
"soil_color","4","4"
"soil_color","5","5 Dark brown, fresh odor, and abundant humus"
"soil_water_ret","1","1 Dry soil, does not hold water"
"soil_water_ret","2","2"
"soil_water_ret","3","3 Limited moisture level available for short time"
"soil_water_ret","4","4"
"soil_water_ret","5","5 Reasonable moisture level for a reasonable period of time"
"soil_cover","1","1 Bare soil"
"soil_cover","2","2"
"soil_cover","3","3 Less than 50% soil covered by residues or live cover"
"soil_cover","4","4"
"soil_cover","5","5 More than 50% soil covered by residues or live cover"
"soil_erosion","1","1 Severe erosion, presence of gullies"
"soil_erosion","2","2"
"soil_erosion","3","3 Evident, but low erosion signs (e.g. rill/sheet erosion)"
"soil_erosion","4","4"
"soil_erosion","5","5 No visible signs of erosion"
"soil_invertebrates","1","1 No signs of invertebrate presence or activity"
"soil_invertebrates","2","2"
"soil_invertebrates","3","3 A few earthworms and arthropods present"
"soil_invertebrates","4","4"
"soil_invertebrates","5","5 Abundant presence of invertebrate organisms"
"soil_microbio","1","1 Very little effervescence after application of water peroxide to the topsoil"
"soil_microbio","2","2"
"soil_microbio","3","3 Light to medium effervescence"
"soil_microbio","4","4"
"soil_microbio","5","5 Abundant - longer effervescences period"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"perc_dec","1","I think that I cannot take any decision"
"perc_dec","2","Just little decisions"
"perc_dec","3","Some decisions"
"perc_dec","4","In great part / totally"
"perc_dec","88","Not applicable"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
